Pesos Portfólio,Retorno,Volatilidade,Capital Final,IS
10.303978% 2.976021% 79.503160% 1.543013% 0.000000% 5.673827%,12.280079%,22.329146%,112280.078585,0.001347
5.204570% 85.966821% 1.798090% 0.241886% 6.788633% 0.000000%,-8.546742%,28.251870%,91453.257851,-0.736119
94.340080% 0.000000% 0.064072% 0.532829% 0.010823% 5.052196%,19.847262%,31.260423%,119847.262068,0.243031
0.000000% 4.857983% 21.555698% 2.542132% 5.367641% 65.676546%,9.847241%,28.466994%,109847.241251,-0.084405
92.145646% 0.058014% 0.030478% 1.151332% 0.000000% 6.614530%,19.361615%,30.695129%,119361.614721,0.231685
80.683538% 0.045060% 12.740988% 0.185997% 0.000000% 6.344417%,19.002362%,28.763886%,119002.361690,0.234751
0.023378% 30.587877% 0.000000% 0.004581% 51.701876% 17.682287%,-6.441712%,29.842527%,93558.288166,-0.626345
1.921242% 92.963861% 0.477877% 1.776617% 2.860402% 0.000000%,-10.296301%,28.947226%,89703.698850,-0.778876
94.495857% 0.023749% 0.158409% 0.000000% 0.395045% 4.926941%,20.039539%,31.365239%,120039.539295,0.248349
12.403442% 0.000000% 1.945804% 0.491462% 82.742744% 2.416548%,-6.196841%,39.769416%,93803.158603,-0.463845
